Nome_Grande_Regiao,Nome_da_UF,Nome_da_meso,Nome_da_micro,Nome_da_RM,Nome_do_municipio,ipc,compDomicilios,compEntorno,compPessoas,D1BAN,D2AGU,D3M5,D4REN,E1LOG,E2ILU,E3PAV,E4MEI,E5BOC,E6ESG,E7LIX,H1NB,H2MR,H3RA,n
Região Centro-Oeste,Distrito Federal,Distrito Federal,Brasília,RIDE - Região Integrada de Desenvolvimento do Distrito Federal e Entorno,BRASÍLIA,0.6659117220703089,0.8348671370277942,0.8132056986820736,0.349662330501059,0.9965684310481305,0.9455997228528213,0.8321675312380192,0.7,0.5882191394972185,0.9295018347690694,0.8771682745346572,0.8627463637146053,0.620133949878334,0.9072064565093225,0.907463871871308,0.42245165236911286,0.5835817508939121,0.04295358824015194,4293
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,ANÁPOLIS,0.6353356231960877,0.7388910798660868,0.7635082046056898,0.4036075851164866,0.9953430258973194,0.8228885195724431,0.8762238538606719,0.5,0.8056956650893717,0.8945452799673539,0.8216526490453715,0.7916710424849447,0.2869016506086638,0.8784382679561078,0.8656528770880154,0.46084016834453234,0.6736169663727116,0.07636562063221586,418
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,ARAÇU,0.6252675499129117,0.6773622295176885,0.7464794035695459,0.45196101665150057,0.9978958442924777,0.8569174118884797,0.9319978914074855,0.3,0.8679493937796521,0.8740115972588297,0.8007380073800738,0.8202424881391671,0.15419082762256195,0.8297311544544017,0.878492356352135,0.43214097843240395,0.6887190300474433,0.23502304147465436,8
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,CAMPO LIMPO DE GOIÁS,0.5623555405858008,0.6251400783997022,0.6417518651561204,0.4201746782015802,0.9945231958762887,0.6441688144329897,0.8870083816892328,0.3,0.8099613152804642,0.8241457124435848,0.6534493874919407,0.5522243713733076,0,0.8262411347517731,0.8262411347517731,0.4080219072164949,0.6710186976144423,0.18148342977380327,15
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,DAMOLÂNDIA,0.5896682169098975,0.6577404063250322,0.6539162112932604,0.45734803311139993,0.9989078995267565,0.7575536949399345,0.9322404371584699,0.3,0.6429872495446266,0.7795992714025501,0.7890710382513662,0.7766848816029144,0.036065573770491806,0.7938069216757742,0.7591985428051001,0.49108117946851115,0.7045537340619308,0.17640918580375786,6
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,HEITORAÍ,0.533641911107794,0.6467235654416505,0.5280438311688311,0.4261583367129006,0.9971631205673759,0.735886524822695,0.9005681818181819,0.3,0.020454545454545454,0.7349431818181819,0.734375,0.734375,0,0.7360795454545455,0.7360795454545455,0.420709219858156,0.6823863636363636,0.17537942664418216,7
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,ITABERAÍ,0.6035959369549795,0.7199573233799186,0.6723047835898269,0.41852570389519306,0.9910943993667128,0.7186395634842102,0.8900526540486694,0.5,0.6544186708410417,0.8354347516721218,0.7397466913334282,0.7286751102888858,0.0866372562971396,0.8362886011100042,0.8249324035861676,0.417262729354556,0.6995019211612352,0.13881246116978785,46
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,ITAGUARI,0.572225216795278,0.6663251813067251,0.5841305036426987,0.46621996543641037,0.9933525371150012,0.7957013073343674,0.9425720620842573,0.3,0.4607538802660754,0.8558758314855875,0.7439024390243902,0.7419068736141907,0.02239467849223947,0.41374722838137473,0.8503325942350333,0.4154664303124308,0.7971175166297118,0.1860759493670886,11
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,ITAGUARU,0.5827502257592836,0.6719479593415538,0.6660019675095052,0.41030075042679165,0.9948100092678406,0.8196478220574606,0.9452819653824679,0.3,0.4381165084682673,0.8218872138470128,0.8267262237111483,0.8254234133631119,0.09529127117066816,0.8295179601712265,0.8250511818351014,0.2732159406858202,0.7569328122091941,0.2007534983853606,9
Região Centro-Oeste,Goiás,Centro Goiano,Anápolis,Municípios não pertencentes a estrutura de RM,ITAUÇU,0.5890313391092727,0.7443315003259248,0.5883245767659078,0.434437940235986,0.9965014577259476,0.8038483965014577,0.9213076474022184,0.5,0.040513718622300056,0.7392877991827204,0.7396380618797431,0.7343841214244017,0.3675423234092236,0.744424985405721,0.7524810274372447,0.48839650145772595,0.6546409807355517,0.16027633851468048,21
