"","Cod_UF","Nome_da_UF","ipc","compDomicilios","compEntorno","compPessoas","D1BAN","D2AGU","D3M5","D4REN","E1LOG","E2ILU","E3PAV","E4MEI","E5BOC","E6ESG","E7LIX","H1NB","H2MR","H3RA","n"
"1",11,"Rondônia",0.47288188531931,0.633611519827865,0.400665380402836,0.384368755727228,0.977523532572783,0.373839441131929,0.816694625434614,0.5,0.282262560055174,0.605265409516006,0.289533352174172,0.224402170672073,0.132798746133523,0.611891248603142,0.65850417566576,0.353997773372518,0.686110110011486,0.112998383797681,2278
"2",12,"Acre",0.443086056524701,0.526414196681862,0.443285909313199,0.359558063579043,0.894340765560814,0.454246301735793,0.6834839161127,0.3,0.486217045010187,0.618255160633065,0.392612868481892,0.280639650949803,0.198673225078379,0.477962776211351,0.648640638827718,0.238628937527542,0.625326720039515,0.214718533170073,854
"3",13,"Amazonas",0.462431709945473,0.54866563677983,0.517426761467846,0.321202731588742,0.935739964998564,0.626418947965721,0.581169270934865,0.3,0.265705823828151,0.679339857360902,0.661800648937138,0.508385498117736,0.277195794471471,0.530496724268141,0.699062983291385,0.212467981052495,0.627144748793171,0.123995464920561,5424
"4",14,"Roraima",0.475079742398745,0.596714292769075,0.514281289806288,0.314243644620871,0.929605195524983,0.789776562032083,0.664189706288307,0.3,0.530647054466945,0.717702823106427,0.621581648798289,0.179066056515992,0.140841119188102,0.695053335817027,0.715076990751235,0.209745185065994,0.603391587910399,0.12959416088622,794
"5",15,"Pará",0.41214523290634,0.534951006156021,0.359432001002409,0.342052691560589,0.954921969461344,0.467991333535401,0.651841727783358,0.3,0.16469381499523,0.607607883621965,0.335605940980317,0.247793894213608,0.176233424848032,0.367487954692926,0.616601093664786,0.218182406495754,0.650282041312982,0.15769362687303,8685
"6",16,"Amapá",0.406139788023395,0.543157178387111,0.366730359021484,0.30853182666159,0.977407986591744,0.551285830795591,0.587092074548221,0.3,0.222679925168829,0.674165335950117,0.437893288823938,0.120754813531619,0.116424779773309,0.361158227590909,0.634036142311669,0.239912008320302,0.571894062420514,0.113789409243955,798
"7",17,"Tocantins",0.503804855638594,0.614515915678544,0.54214538400826,0.354753267228979,0.914084413272469,0.780564424387858,0.777930740732395,0.3,0.402700418015289,0.744450994230938,0.550885420490236,0.516561793359001,0.0901113326408812,0.742623676484805,0.747684052836667,0.249683761401234,0.64401393529667,0.170562104989032,2070
"8",21,"Maranhão",0.43079988679466,0.55415793521061,0.366826600327173,0.371415124846197,0.854081559488519,0.644899171447131,0.671808945117399,0.3,0.224667192092614,0.596458836599548,0.393912168431665,0.302195285751467,0.0617651626730328,0.382028601845215,0.606758954896668,0.221380886942959,0.606547655553694,0.286316832041937,8694
"9",22,"Piauí",0.451789513610362,0.57150862926966,0.386452358554998,0.39740755300643,0.788950642406382,0.712060381534858,0.756532122407058,0.3,0.265691439462175,0.583848757147859,0.485483778414934,0.452055752813205,0.0272693745732562,0.295168760062128,0.595648647411426,0.243669478015658,0.634202112329617,0.314351068674014,5141
"10",23,"Ceará",0.500160850780943,0.60935422942866,0.490997909429294,0.400130413484876,0.920767879872135,0.759516178109921,0.766487089161246,0.3,0.379070486458869,0.688586462808595,0.591620339808549,0.501401205910897,0.0795874930017297,0.533045444290187,0.663673933726231,0.320211173274274,0.622726323165498,0.257453744014855,12899
"11",24,"Rio Grande do Norte",0.530178828524585,0.6435259096597,0.509632864583291,0.437377711330764,0.978234300184657,0.856369724317373,0.783025523796472,0.3,0.357143763518019,0.736052449755319,0.603032604399237,0.583203427113252,0.0832627493675994,0.496543764913837,0.708191293015772,0.41144773391651,0.650535137491221,0.250150262584561,4241
"12",25,"Paraiba",0.516243161912409,0.617281548653801,0.488755538522235,0.442692398561191,0.938762563654119,0.753282176952935,0.794363002661949,0.3,0.284587544486927,0.719556169320572,0.508027845543468,0.530226845665859,0.118175571340539,0.568085564223698,0.692629229074579,0.398260158403806,0.634800156469193,0.295016880810575,5505
"13",26,"Pernambuco",0.490606925556488,0.615621468760767,0.452263388326448,0.403935919582251,0.942595579012527,0.744806334749158,0.790705430042149,0.3,0.282616367842155,0.655326268823201,0.452022551269509,0.439577295127682,0.150407207446079,0.542715752516617,0.64317827525989,0.366939158025509,0.605444099549249,0.239424501171994,12262
"14",27,"Alagoas",0.481261267155261,0.586300225444351,0.431430326888402,0.426053249133029,0.924534072979507,0.671112396348329,0.735854657893921,0.3,0.16971277096104,0.689450803192094,0.475050780967345,0.487995405162344,0.176937429578557,0.361940375649945,0.658924722707491,0.316052384614298,0.639515216200292,0.322592146584496,3681
"15",28,"Sergipe",0.511572004581604,0.63327329696712,0.521530722820892,0.379911993956801,0.966526430695066,0.825883973338538,0.773956080801994,0.3,0.298662208983075,0.703525004009,0.59761112217973,0.577338704582894,0.277419856453517,0.506105827870565,0.690052335667462,0.282300483375814,0.603367073721858,0.25406842477273,3264
"16",29,"Bahia",0.468178102301493,0.615836061175713,0.433510983946217,0.355187261782548,0.910737207654521,0.78938869836855,0.779054399855496,0.3,0.270799590571093,0.612505501342543,0.449546488674044,0.405825617118028,0.137471203070143,0.556048753005131,0.602379733842539,0.221957627613136,0.617194723872028,0.226409433862482,23368
"17",31,"Minas Gerais",0.60640967037535,0.735724960404382,0.673022413059844,0.410481637661825,0.98231870566684,0.853948118896094,0.842357977458976,0.5,0.515397265026228,0.819960045218102,0.745205492965576,0.717292275878099,0.299778728892902,0.815061468934751,0.798461614503251,0.454065364039517,0.666874668152426,0.110504880793532,31924
